patnum,ccmt_patent,patent_abstract
8087537,1,"A pressure container includes a metal socket and a CFRP layer that contacts the metal socket. A metal oxide layer is formed on a first contact area where the socket contacts the CFRP layer. The socket may be made of aluminum or aluminum alloy, and the oxide layer may be formed by anodizing the socket."
8087613,1,"An aircraft passenger seat assembly as described herein is formed from two primary and modular components: a structural frame that provides passenger support and dynamic load paths for the seat assembly; and a comfort frame that provides the passenger seating surface and the external upholstery layer for the seat assembly. If the seat assembly is designed for multiple passengers, then a separate comfort frame is used for each passenger seat location. The structural frame can be formed as a molded composite construction, and the comfort frame can also utilize a molded composite support frame. The support frame is used as a mounting shell for a fabric carrier that includes the external upholstery layer. The modular design and use of composite materials results in a significant weight and parts count savings relative to conventional seat designs."
8087617,1,A retractable chine assembly includes at least one chine which is hingebly mountable to a surface such as of an aircraft having a wing. The chine is preferably configured to be movable between stowed and deployed positions. The aircraft may include an engine nacelle which may be mounted on an underside of the wing. The nacelle may generate a nacelle wake that passes over the wing upper surface at high angles of attack and induces flow separation. The chine is preferably configured such that a vortex generated thereby interacts which the nacelle wake to delay flow separation and stall.
8087618,1,"A propulsion system for an aircraft includes an airfoil, an engine having an engine cowling carried by the airfoil and configured to produce exhaust gases that are predominantly directed toward an aft end of the airfoil by the engine cowling as engine exhaust, a propulsion flap carried by the airfoil and disposed aft of the engine cowling and a plurality of exhaust ejection orifices provided in the propulsion flap and adapted to receive at least a portion of the exhaust gases from the engine cowling."
8087797,1,"An illumination device includes independent light sources and pivotable legs. In an embodiment, each independent light source includes a head having an illumination element; a body; a power source holder configured to receive a power source for powering the illumination element; a switch configured to control the independent light source; and an electrical circuit configured to place the independent light source and at least one other independent light source in an electrically coupled state. The switch may be configured to control an illumination state of both the independent light source and the at least one other independent light source when in the electrically coupled state. The illumination provided by the illumination device may be adjusted to different angles with respect to a longitudinal axis of the illumination device by rotating each of the plurality of pivotable heads. The pivotable legs are movable between a retracted configuration and an expanded configuration."
8087884,1,"A stator vane includes leading and trailing edges extending longitudinally between a root and a tip, the trailing edge having an exit swirl angle distribution such that the exit swirl angle has a maximum value at an intermediate radius location."
8087885,1,"Improved annular components and improved methods for assembling annular components into a turbine engine are described with respect to an axial compressor having a plurality of annular compressor rotor airfoil assemblies (120) as an example. Each compressor rotor airfoil assembly comprises an annular rotor portion (122), a spacer portion (124) extending axially therefrom and a plurality of airfoils (52) extending radially therefrom. The plurality of airfoils may be integrally formed with the annular portion. The compressor rotor airfoil assemblies are stacked sequentially on a center-tie (134) or outer circumferential tie. The spacer portion of one compressor rotor airfoil assembly (120a) abuts the annular rotor portion of the adjacent compressor rotor airfoil assembly (120b) to retain one another on the center-tied outer circumferential tie. By stacking the compressor rotor airfoil assemblies sequentially and then retaining them, the typical split cases, flanges and rotor bolts may be eliminated."
8087898,1,"A wind turbine including an article, article, and method of forming an article for distributing stress are disclosed. The article includes a flange for securing an upper tower section and a lower tower section of a wind turbine and includes a first arm extending in a first direction, a second arm extending in a second direction substantially perpendicular to the first direction, a relief region disposed between the first arm and the second arm, the relief region maintaining or improving the distribution of stress on wind turbine components selected from the group consisting of the first arm of the flange, the second arm of the flange, a fastener of the flange, and combinations thereof."
8087900,1,"An agricultural harvester includes a first power unit which is couplable with a first primary load. The first primary load includes a threshing system load. A second power unit has a threshold power output and is couplable with a second primary load. The second primary load includes a propulsion load. A first motor/generator is mechanically coupled with the first power unit. A second motor/generator is mechanically coupled with the second power unit. The second motor/generator and the first motor/generator are electrically coupled together. At least one electrical processing circuit is coupled with each of the first motor/generator and the second motor/generator. The at least one electrical processing circuit is configured for selectively transferring electrical power from the first motor/generator to the second motor/generator, when the second power unit is at or above the threshold power output."
8088030,1,"An electrically-variable transmission is provided with substantially identical motor modules to simplify assembly and realize economies of scale in purchasing and testing the motor modules. First and second motor modules are packaged within a transmission casing and are operatively connecting the input member and the output member and coaxially arranged about the axis of rotation. Each motor module includes a respective motor/generator with a rotor rotatable about the axis of rotation and defining a rotor cavity. A planetary gear set is packaged within the cavity and has a first, a second and a third member. A rotor hub supports the rotor and has first and second annular end portions at opposing ends of the rotor hub, and an annular midportion connected for common rotation with the first member of the planetary gear set. A selectively engagable rotating-type clutch is packaged within the cavity and connected with the rotor hub."
8088034,1,"This invention relates to a control device for a hybrid vehicle power transmitting apparatus. A heat generation control is executed to increase a heat generation amount of an electric motor M1 when a differential portion 11 is placed in a non-differential state and a temperature of a shifting mechanism 10 is less than a given transmitting apparatus temperature determining value TEMP11. This allows the first electric motor M1 to develop a heat with which the temperature of a shifting mechanism 10 is promptly raised, thereby promptly completing a warm-up of the shifting mechanism 10 to achieve improved fuel consumption."
8088035,1,"The intermittence prohibition vehicle speed Vpr is set to the smallest of the standard intermittence prohibition vehicle speed Vpr1 set according to the input limit Win of the battery, the sequential intermittence prohibition vehicle speed Vpr2 set for the sequential gearshift position, and the power mode intermittence prohibition vehicle speed Vpr3 set for the power mode (S400 to S480). When the vehicle speed V is less than the intermittence prohibition vehicle speed Vpr, the hybrid vehicle is driven with output of the torque demand Tr* to the driveshaft within the range of the input limit Win or the output limit Wout of the battery with intermittent operation of the engine. When the vehicle speed V is more than or equal to the intermittence prohibition vehicle speed Vpr, the hybrid vehicle is driven with output of the torque demand Tr* to the driveshaft within the range of the input limit Win or the output limit Wout of the battery in prohibition of the intermittent operation of the engine."
